,abs_coef,indicator
original_glszm_GrayLevelNonUniformity_mean,0.2750376591594108,1
original_glcm_Imc1_5%,0.2749544831340061,1
original_glcm_MaximumProbability_5%,0.27461861383204,-1
original_glrlm_RunLengthNonUniformityNormalized_std,0.2735174821873111,1
original_firstorder_Uniformity_5%,0.2734653467957863,-1
original_glcm_Autocorrelation_5%,0.2721809411885641,1
original_glcm_DifferenceEntropy_std,0.2704426829394954,-1
original_glcm_MCC_std,0.2701910740232202,1
original_ngtdm_Coarseness_max,0.26797109325218704,-1
original_gldm_DependenceVariance_std,0.2655761298788278,-1
original_gldm_LowGrayLevelEmphasis_max,0.2651350273138097,1
original_firstorder_Median_min,0.26460263746966395,1
original_glcm_JointEntropy_max,0.26230524310816017,-1
original_firstorder_Mean_50%,0.2619753569745036,1
original_firstorder_Energy_min,0.2614652445729397,-1
original_firstorder_TotalEnergy_min,0.2614652445729397,-1
original_shape2D_MinorAxisLength_max,0.25890328960500003,1
original_glcm_Correlation_50%,0.2566030818597409,-1
original_glcm_Correlation_max,0.2563696607248568,-1
original_ngtdm_Complexity_95%,0.2554347160685899,-1
original_glrlm_LowGrayLevelRunEmphasis_min,0.25479332831076906,-1
original_glszm_LowGrayLevelZoneEmphasis_min,0.25479332831076906,-1
original_glcm_Idn_max,0.2541129008289081,1
original_glcm_Idmn_max,0.2537391443788065,1
original_gldm_SmallDependenceLowGrayLevelEmphasis_50%,0.25341497829644083,-1
original_glrlm_LongRunEmphasis_max,0.25130976970686153,1
original_glszm_LargeAreaEmphasis_max,0.25130976970686153,1
original_gldm_LargeDependenceHighGrayLevelEmphasis_mean,0.24965638212604002,-1
original_shape2D_Perimeter_50%,0.2479802436122739,1
original_glszm_LargeAreaEmphasis_95%,0.2449259058263643,-1
original_gldm_DependenceVariance_50%,0.2448461421727892,1
original_glrlm_LongRunEmphasis_95%,0.24477648358257176,-1
original_glcm_Id_5%,0.2437248050385992,1
original_firstorder_Energy_mean,0.2436897289661961,1
original_firstorder_TotalEnergy_mean,0.2436897289661961,1
original_glszm_ZonePercentage_95%,0.2405498522454104,1
original_glcm_SumEntropy_min,0.2390560468126092,-1
original_glcm_InverseVariance_min,0.2385814733394069,-1
original_glcm_Imc2_50%,0.2385583228558105,1
original_glszm_SizeZoneNonUniformity_std,0.23792674229589575,1
original_glrlm_RunLengthNonUniformity_std,0.2375577041556777,1
original_firstorder_Maximum_50%,0.2374395899034082,1
original_gldm_DependenceEntropy_50%,0.2357413509130921,-1
original_firstorder_10Percentile_5%,0.2352747322332144,-1
original_glcm_Idn_95%,0.23527276311852616,-1
original_glcm_SumSquares_min,0.2350253129017056,-1
original_gldm_LargeDependenceLowGrayLevelEmphasis_max,0.23500449976547005,-1
original_glrlm_RunPercentage_95%,0.2347177120319291,1
diagnostics_Mask-original_VoxelNum_95%,0.2343350612138712,1
original_shape2D_PixelSurface_95%,0.2343350612138712,1
original_shape2D_Elongation_5%,0.2339478541626285,-1
original_glrlm_HighGrayLevelRunEmphasis_95%,0.2339110425317276,1
original_firstorder_RobustMeanAbsoluteDeviation_max,0.2337753261541268,1
original_glszm_HighGrayLevelZoneEmphasis_95%,0.2337357999374189,1
original_glrlm_RunLengthNonUniformity_mean,0.23360741627030435,1
original_shape2D_MeshSurface_95%,0.2332962459826501,1
original_glszm_SizeZoneNonUniformity_mean,0.2322337907477936,1
original_glcm_InverseVariance_95%,0.2319755482856343,-1
original_gldm_SmallDependenceHighGrayLevelEmphasis_95%,0.23053498740591985,-1
original_glszm_SmallAreaLowGrayLevelEmphasis_min,0.2277767147783739,-1
original_glrlm_ShortRunLowGrayLevelEmphasis_min,0.2277767147783739,-1
original_firstorder_Entropy_std,0.2276110033746976,1
original_shape2D_Perimeter_max,0.2274631793173736,-1
original_glszm_ZonePercentage_std,0.2274207730209505,1
original_shape2D_MaximumDiameter_min,0.2272302699546244,-1
original_glrlm_GrayLevelNonUniformityNormalized_max,0.2271592271737203,-1
original_glszm_GrayLevelNonUniformityNormalized_max,0.2271592271737203,-1
original_glcm_InverseVariance_max,0.22661465569357786,1
original_glrlm_RunPercentage_std,0.22396363498293484,1
original_glcm_Imc2_std,0.22254187837752093,1
original_gldm_HighGrayLevelEmphasis_5%,0.22252751214315086,1
original_glrlm_GrayLevelVariance_5%,0.22186411802167064,1
original_glrlm_RunVariance_50%,0.22181036588684572,-1
original_glszm_ZoneVariance_50%,0.22181036588684572,-1
original_gldm_LargeDependenceLowGrayLevelEmphasis_std,0.2202233407013401,1
original_gldm_SmallDependenceEmphasis_50%,0.22004764410717134,-1
original_glcm_Imc2_min,0.21828504839593665,1
original_glcm_DifferenceEntropy_50%,0.21653702439191025,-1
original_shape2D_MeshSurface_max,0.2161173587237902,-1
original_shape2D_PixelSurface_max,0.21580199624368196,-1
diagnostics_Mask-original_VoxelNum_max,0.21580199624368196,-1
original_firstorder_MeanAbsoluteDeviation_std,0.2141648019096217,1
original_ngtdm_Busyness_std,0.21369716636781466,1
original_glszm_GrayLevelVariance_5%,0.21366310822330647,1
original_gldm_LowGrayLevelEmphasis_std,0.21335409775262065,1
original_glcm_Idn_mean,0.21314930194292106,1
original_ngtdm_Strength_max,0.21263172964820373,-1
original_glcm_Idn_50%,0.21181810316100774,1
original_gldm_SmallDependenceHighGrayLevelEmphasis_50%,0.21179785263720444,1
original_firstorder_Kurtosis_5%,0.21125020077769574,-1
original_firstorder_Kurtosis_min,0.21124796681093516,1
original_glszm_LargeAreaHighGrayLevelEmphasis_std,0.2112158743125981,-1
original_glrlm_LongRunHighGrayLevelEmphasis_std,0.2112013539281737,-1
original_glrlm_RunVariance_5%,0.2100884460392445,-1
original_glszm_ZoneVariance_5%,0.2100884460392445,-1
original_firstorder_Maximum_std,0.2100153964590034,-1
original_shape2D_MinorAxisLength_min,0.2098073099730356,1
original_gldm_GrayLevelVariance_max,0.20935178160489848,-1
original_ngtdm_Busyness_max,0.20833511242717875,1
original_firstorder_Variance_50%,0.20813727336522184,1
original_gldm_LargeDependenceLowGrayLevelEmphasis_5%,0.2080157889217413,1
original_glszm_LargeAreaEmphasis_min,0.20777331601571655,-1
original_glrlm_LongRunEmphasis_min,0.20777331601571655,-1
original_glcm_Idmn_std,0.20734965975959704,-1
original_shape2D_Sphericity_5%,0.2072086684363717,-1
original_gldm_DependenceNonUniformity_std,0.2069551585257625,1
original_gldm_HighGrayLevelEmphasis_max,0.2068124073679717,1
original_glcm_Imc2_95%,0.20661450318432314,1
original_glcm_ClusterTendency_min,0.2042098959420305,-1
original_glcm_JointAverage_95%,0.20387369234949107,1
original_glcm_SumAverage_95%,0.2038736923490532,1
original_ngtdm_Contrast_min,0.2035908963140661,-1
original_glcm_JointEnergy_min,0.2032954070476526,-1
original_firstorder_Skewness_5%,0.20326216146855414,-1
original_glcm_Idmn_50%,0.201404534540968,1
original_gldm_DependenceNonUniformity_min,0.2012333792801724,1
original_firstorder_Minimum_min,0.2011937388048804,-1
original_gldm_DependenceVariance_mean,0.19966142865544392,1
original_glrlm_ShortRunLowGrayLevelEmphasis_50%,0.19946166878595128,-1
original_glcm_Idm_std,0.1992162993577383,1
original_glcm_ClusterProminence_95%,0.19789360777681828,-1
original_glszm_SmallAreaLowGrayLevelEmphasis_50%,0.19756828495032525,-1
original_glcm_Imc2_mean,0.19628867327656915,1
original_firstorder_10Percentile_std,0.19552360088330006,1
original_glcm_DifferenceVariance_95%,0.1952372109349668,-1
original_glszm_ZoneVariance_std,0.19506244697740271,1
original_glrlm_RunVariance_std,0.19506244697740271,1
original_gldm_GrayLevelVariance_5%,0.1945603180243009,1
original_glcm_DifferenceAverage_min,0.19375704399399016,-1
original_gldm_LargeDependenceEmphasis_std,0.19209691120519007,1
original_firstorder_90Percentile_mean,0.1885160105963005,1
original_gldm_DependenceVariance_95%,0.1875657899959982,1
original_firstorder_90Percentile_95%,0.18609670370388232,1
original_glszm_ZoneEntropy_max,0.18465616277845046,1
original_glrlm_RunEntropy_max,0.18465616277845046,1
original_glszm_SmallAreaLowGrayLevelEmphasis_max,0.18373213495803048,-1
original_glcm_SumSquares_50%,0.1830737484781079,1
original_firstorder_Median_95%,0.1809658333656093,-1
original_shape2D_PerimeterSurfaceRatio_95%,0.18090452269306487,-1
original_glcm_ClusterTendency_50%,0.17982980221017816,1
original_glszm_ZoneEntropy_min,0.1798051120742228,-1
original_firstorder_Minimum_95%,0.17820546838773385,1
original_firstorder_Variance_5%,0.17791996525704998,1
original_ngtdm_Busyness_5%,0.17649763354277867,1
diagnostics_Mask-original_VolumeNum_max,0.1740081471440437,1
original_gldm_SmallDependenceLowGrayLevelEmphasis_mean,0.17174400816761082,-1
original_glcm_JointEntropy_min,0.17153765683601807,-1
original_gldm_DependenceNonUniformityNormalized_std,0.17119850863087227,-1
original_firstorder_InterquartileRange_min,0.17072504506628655,-1
original_firstorder_InterquartileRange_std,0.1702985157231622,1
original_firstorder_Skewness_50%,0.16915168769156988,1
original_glcm_Id_std,0.16864864541140714,1
original_glcm_Id_95%,0.16596719418023062,1
original_glcm_DifferenceAverage_95%,0.16499502229930235,-1
original_glcm_Idmn_5%,0.16386174207573082,-1
original_firstorder_RobustMeanAbsoluteDeviation_std,0.16341494896468595,1
original_glcm_Contrast_std,0.16159913746492155,-1
original_glcm_ClusterShade_95%,0.16066126192840002,-1
original_firstorder_RobustMeanAbsoluteDeviation_95%,0.15988677110334604,1
original_firstorder_TotalEnergy_max,0.15976233638968798,-1
original_firstorder_Energy_max,0.15976233638968798,-1
original_firstorder_90Percentile_std,0.15746324719668425,-1
original_glcm_MaximumProbability_mean,0.15730464700743052,1
original_glcm_DifferenceEntropy_5%,0.15703180999413713,1
original_glcm_MCC_mean,0.1555600585043366,1
original_glcm_Idm_95%,0.15552840448327182,1
original_ngtdm_Contrast_50%,0.1534039122675793,1
original_firstorder_Mean_min,0.15271405591825238,1
original_glszm_SmallAreaHighGrayLevelEmphasis_5%,0.1504285730928486,-1
original_glrlm_ShortRunHighGrayLevelEmphasis_5%,0.1497961253476355,-1
original_glrlm_RunPercentage_mean,0.14869269788414802,-1
original_gldm_LargeDependenceEmphasis_mean,0.1485842583415151,1
original_gldm_LargeDependenceEmphasis_min,0.14826622767630568,-1
original_firstorder_InterquartileRange_50%,0.14750724753161729,1
original_glszm_ZonePercentage_mean,0.1467463363736903,-1
original_glrlm_ShortRunHighGrayLevelEmphasis_mean,0.1457165146331916,1
original_glszm_SmallAreaLowGrayLevelEmphasis_95%,0.14528114506992915,1
original_glszm_LargeAreaHighGrayLevelEmphasis_min,0.14503820761735473,-1
original_glszm_GrayLevelNonUniformityNormalized_50%,0.14493188387696393,1
original_glszm_SmallAreaHighGrayLevelEmphasis_mean,0.14463974745205502,1
original_glrlm_GrayLevelNonUniformityNormalized_50%,0.14444965996203088,1
original_glcm_JointEnergy_50%,0.14429310372890955,1
original_glrlm_GrayLevelVariance_50%,0.14311027800844275,1
original_glszm_GrayLevelVariance_50%,0.14276601706009576,1
original_glrlm_ShortRunLowGrayLevelEmphasis_95%,0.14261955003909962,1
original_gldm_SmallDependenceEmphasis_mean,0.14199122461752428,-1
original_ngtdm_Complexity_mean,0.1416846807783862,1
original_glcm_JointEntropy_50%,0.1408949222069815,-1
original_gldm_DependenceEntropy_5%,0.14082493811427918,1
original_ngtdm_Complexity_5%,0.1400609979903187,-1
original_gldm_LowGrayLevelEmphasis_min,0.13934969441930015,-1
original_glszm_SizeZoneNonUniformityNormalized_max,0.1379507555745505,-1
original_glrlm_RunLengthNonUniformityNormalized_max,0.1379507555745505,-1
original_gldm_SmallDependenceLowGrayLevelEmphasis_std,0.13573075823606973,-1
original_shape2D_Perimeter_std,0.13410535406270044,1
original_gldm_GrayLevelVariance_50%,0.1335558265778529,1
original_shape2D_Elongation_max,0.1325822194736372,-1
original_glszm_ZonePercentage_max,0.1320938366638063,1
original_glrlm_RunPercentage_max,0.1320938366638063,1
original_glszm_GrayLevelVariance_max,0.1310711115468334,-1
original_glrlm_GrayLevelVariance_max,0.1310711115468334,-1
original_glcm_JointEnergy_mean,0.1301105636829904,1
original_glrlm_LowGrayLevelRunEmphasis_5%,0.12982204555441204,-1
